value;label;revenue
0088-6104;CREDICORP CAPITAL RENTA EN DOLARES VIII FMIV 2.43;2.43
0002-67343;SCOTIA FONDO CASH $ FMIV 2.4;2.4
0036-67343;SCOTIA FONDO RENTA DOLARES 2Y III FMIV 2.38;2.38
0118-6104;CREDICORP CAPITAL RENTA EN DOLARES 4Y III FMIV 2.32;2.32
0005-6104;CREDICORP CAPITAL CONSERVADOR LIQUIDEZ DOLARES FMIV  2.32;2.32
0026-6104;CREDICORP CAPITAL MULTIESTRATEGIA FMIV   (ANTES CREDICORP CAPITAL ACCIONES VCS FMIV) 2.31;2.31
0007-67343;SCOTIA FONDO MIXTO BALANCEADO FMIV 2.29;2.29
0004-38036;BBVA DOLARES MONETARIO FMIV 2.28;2.28
0103-6104;FONDO DE FONDOS CREDICORP CAPITAL DEUDA HIGH YIELD GLOBAL FMIV 2.21;2.21
0003-6107;IF CASH FMIV 2.2;2.2
0024-6104;FONDO DE FONDOS CREDICORP CAPITAL DEUDA  LATAM FMIV 2.03;2.03
0084-6104;CREDICORP CAPITAL RENTA EN DOLARES III FMIV 2.02;2.02
0099-6104;FONDO DE FONDOS CREDICORP CAPITAL DEUDA FLOTANTE FMIV 1.97;1.97
0044-38036;BBVA OPORTUNIDAD ESPECIAL SOLES II FMIV 1.94;1.94
0043-38036;BBVA TESORERIA SOLES FMIV 1.86;1.86
0105-6104;CREDICORP CAPITAL MULTIPLICADOR DE CUPON FMIV 1.76;1.76
0035-67343;SF RENDIMIENTO BINARIO DOLARES III FMIV 1.72;1.72
0018-67343;SCOTIA FONDO RENTA LATAM 4Y FMIV(ANTES SCOTIA FONDO DEUDA LATAM FMIV) 1.71;1.71
0017-113223;FONDO DE FONDOS SURA ACCIONES EUROPEAS FMIV 1.7;1.7
0042-67343;SCOTIA FONDO DE FONDOS DEUDA HY FMIV 1.67;1.67
0111-6104;CREDICORP  CAPITAL RENTA EN DOLARES 4Y FMIV 1.64;1.64
0028-6104;FONDO DE FONDOS CREDICORP CAPITAL DEUDA GLOBAL FMIV 1.63;1.63
0027-38036; BBVA BALANCEADO -D FMIV (ANTES BBVA BALANCEADO FMIV) 1.6;1.6
0129-6104;CREDICORP  CAPITAL CUPON ESCALONADO XI FMIV 1.52;1.52
0036-38036;BBVA RENTA DOLARES 2A FMIV 1.44;1.44
0029-67343;SCOTIA FONDO RENDIMIENTO BINARIO DOLARES FMIV 1.41;1.41
0006-113223;SURA CORTO PLAZO DÓLARES FMIV (ANTES ING RENTA CORTO PLAZO DOLARES) 1.37;1.37
0004-156429;ADCAP EXTRA CONSERVADOR DOLARES FMIV 1.31;1.31
0042-38036;BBVA RENTA DOLARES 2 A II FMIV 1.29;1.29
0028-67343;SCOTIA FONDO RENTA DOLARES 2Y II FMIV 1.29;1.29
0091-6104;CREDICORP CAPITAL MERCADOS DESARROLLADOS DOLARES I FMIV 1.26;1.26
0007-120161;DIVISO CONSERVADOR DOLARES FMIV 1.21;1.21
0035-38036;BBVA PREMIUM USD FMIV 1.06;1.06
0119-6104;CREDICORP CAPITAL RENTA EN DOLARES 3 Y II FMIV 1.03;1.03
0045-38036;BBVA SUPER DOLARES III FMIV 1.01;1.01
0140-6104;FONDO DE FONDOS CREDICORP CAPITAL ACTIVOS PREFERENTES FMIV 0.96;0.96
0112-6104;CREDICORP CAPITAL RENTA EN DOLARES  3Y FMIV 0.92;0.92
0123-6104;CREDICORP CAPITAL CUPON ESCALONADO VII FMIV 0.9;0.9
0009-113223;SURA ULTRA CASH DÓLARES FMIV (ANTES ING RENTA CASH DOLARES-FMIV) 0.85;0.85
0121-6104;CREDICORP CAPITAL CUPON ESCALONADO V FMIV 0.85;0.85
0030-38036;FONDO DE FONDOS BBVA SELECCION ESTRATEGICA FMIV 0.83;0.83
0057-6107;IF XII CUSTODIA DOLARES -LATAM  FMIV 0.82;0.82
0038-38036;BBVA SUPER DOLARES II FMIV 0.82;0.82
0033-6104;CREDICORP CAPITAL CONSERVADOR CORTO PLAZO DOLARES FMIV 0.79;0.79
0015-6107;IF EXTRA CONSERVADOR FMIV 0.74;0.74
0013-67343;SCOTIA FONDO DEPOSITO DISPONIBLE $ FMIV 0.73;0.73
0060-6107;IF XIII CUSTODIA DOLARES - LATAM FMIV 0.7;0.7
0051-6107;IF X CUSTODIA DOLARES- LATAM FMIV 0.69;0.69
0055-6107;IF XI CUSTODIA DOLARES - LATAM FMIV 0.61;0.61
0017-6107;IF OPORTUNIDAD FMIV 0.61;0.61
0020-38036;BBVA CASH DOLARES FMIV 0.61;0.61
0043-67343;SCOTIA FONDO DE FONDOS DEUDA IG FMIV 0.6;0.6
0063-6107;IF XIV CUSTODIA DOLARES - LATAM FMIV 0.53;0.53
0041-38036;BBVA OPORTUNIDAD ESPECIAL SOLES FMIV 0.51;0.51
0050-67343;SF RENTA DOLARES 6M III FMIV 0.48;0.48
0024-6107;IF LIBRE DISPONIBILIDAD FMIV 0.47;0.47
0092-6104;CREDICORP CAPITAL MERCADOS DESARROLLADOS DOLARES II FMIV 0.39;0.39
0047-38036;BBVA SUPER DOLARES 4 FMIV 0.36;0.36
0120-6104;CREDICORP CAPITAL BARRERA CONDICIONAL II FMIV 0.35;0.35
0068-6107;IF XV CUSTODIA DOLARES - LATAM FMIV 0.34;0.34
0054-67343;SCOTIA FONDO RENTA DOLARES 2Y IV FMIV 0.34;0.34
0040-67343;SF Rendimiento Mejorado Soles II FMIV 0.26;0.26
0024-38036; BBVA MODERADO  -D FMIV   (ANTES  BBVA MODERADO FMIV) 0.2;0.2
0015-113223;FONDO DE FONDOS SURA ACCIONES DE MERCADOS EMERGENTES FMIV 0.18;0.18
0028-113223;FONDO DE FONDOS SURA BONOS GLOBALES FMIV - SERIE B 0.15;0.15
0151-6104;CREDICORP CAPITAL BARRERA CONDICIONAL SOLES II ( PROGRAMA: BARRERA CONDICIONAL SOLES) 0.15;0.15
0028-113223;FONDO DE FONDOS SURA BONOS GLOBALES FMIV - SERIE A 0.15;0.15
0069-6107;IF V OPCION ESTRATEGICA DOLARES FMIV 0.13;0.13
0058-6107;FONDO DE FONDOS IF CUPON GLOBAL FMIV 0.13;0.13
0035-113223;FONDO DE FONDOS SURA REAL ESTATE GLOBAL INCOME FMIV 0.12;0.12
0071-6107;IF XVI CUSTODIA DOLARES FMIV (PROGRAMA DE FONDOS MUTUOS CUSTODIA DOLARES) 0.1;0.1
0149-6104;FONDO DE FONDOS CREDICORP CAPITAL ACCIONES SECTOR SEGURIDAD FMIV 0.09;0.09
